Episode,Steps,Reward,Epsilon,Loss,Info
199,80,80.0,N/A,,{}
200,80,80.0,N/A,,{}
201,80,80.0,N/A,,{}
202,80,80.0,N/A,,{}
203,80,80.0,N/A,,{}
204,80,80.0,N/A,,{}
205,80,80.0,N/A,,{}
206,80,80.0,N/A,,{}
207,80,80.0,N/A,,{}
208,80,80.0,N/A,,{}
209,80,80.0,N/A,,{}
210,80,80.0,N/A,,{}
211,80,80.0,N/A,,{}
212,80,80.0,N/A,,{}
213,80,80.0,N/A,,{}
214,80,80.0,N/A,,{}
215,80,80.0,N/A,,{}
216,73,73.0,N/A,,{}
217,80,80.0,N/A,,{}
218,80,80.0,N/A,,{}
219,80,80.0,N/A,,{}
220,80,80.0,N/A,,{}
221,80,80.0,N/A,,{}
222,80,80.0,N/A,,{}
223,80,80.0,N/A,,{}
224,80,80.0,N/A,,{}
225,80,80.0,N/A,,{}
226,80,80.0,N/A,,{}
227,80,80.0,N/A,,{}
228,80,80.0,N/A,,{}
229,80,80.0,N/A,,{}
230,80,80.0,N/A,,{}
231,80,80.0,N/A,,{}
232,80,80.0,N/A,,{}
233,80,80.0,N/A,,{}
234,80,80.0,N/A,,{}
235,80,80.0,N/A,,{}
236,80,80.0,N/A,,{}
237,80,80.0,N/A,,{}
238,80,80.0,N/A,,{}
239,80,80.0,N/A,,{}
240,80,80.0,N/A,,{}
241,80,80.0,N/A,,{}
242,80,80.0,N/A,,{}
243,80,80.0,N/A,,{}
244,80,80.0,N/A,,{}
245,80,80.0,N/A,,{}
246,80,80.0,N/A,,{}
247,80,80.0,N/A,,{}
248,80,80.0,N/A,,{}
249,80,80.0,N/A,,{}
250,80,80.0,N/A,,{}
251,80,80.0,N/A,,{}
252,80,80.0,N/A,,{}
253,80,80.0,N/A,,{}
254,80,80.0,N/A,,{}
255,80,80.0,N/A,,{}
256,80,80.0,N/A,,{}
257,80,80.0,N/A,,{}
258,80,80.0,N/A,,{}
259,80,80.0,N/A,,{}
260,80,80.0,N/A,,{}
261,80,80.0,N/A,,{}
262,80,80.0,N/A,,{}
263,80,80.0,N/A,,{}
264,58,58.0,N/A,,{}
265,80,80.0,N/A,,{}
266,80,80.0,N/A,,{}
267,80,80.0,N/A,,{}
268,80,80.0,N/A,,{}
269,80,80.0,N/A,,{}
270,80,80.0,N/A,,{}
271,80,80.0,N/A,,{}
272,80,80.0,N/A,,{}
273,80,80.0,N/A,,{}
274,80,80.0,N/A,,{}
275,80,80.0,N/A,,{}
276,80,80.0,N/A,,{}
277,80,80.0,N/A,,{}
278,80,80.0,N/A,,{}
279,80,80.0,N/A,,{}
280,74,74.0,N/A,,{}
281,80,80.0,N/A,,{}
282,80,80.0,N/A,,{}
283,80,80.0,N/A,,{}
284,80,80.0,N/A,,{}
285,80,80.0,N/A,,{}
286,80,80.0,N/A,,{}
287,80,80.0,N/A,,{}
288,80,80.0,N/A,,{}
289,80,80.0,N/A,,{}
290,80,80.0,N/A,,{}
291,80,80.0,N/A,,{}
292,80,80.0,N/A,,{}
293,80,80.0,N/A,,{}
294,80,80.0,N/A,,{}
295,80,80.0,N/A,,{}
296,80,80.0,N/A,,{}
297,80,80.0,N/A,,{}
298,80,80.0,N/A,,{}
299,80,80.0,N/A,,{}
300,80,80.0,N/A,,{}
